"('June', 2017)",Development of reinforced interlining materials to regulate elastic properties,"Kornilova Nadezhda, Koksharov Sergey, Arbuzova Anna, Shukla Armaiti, Mundkur Suman"
"('June', 2017)",Studies on nature of anisotropy of tensile properties and fibre orientation in  cross-laid needle-punched nonwoven fabrics,"Ray Sadhan Chandra, Ghosh Papai"
"('June', 2017)",Nonlinear Maxwell modelling of inverse relaxation in yarns and fabrics,"Mandhyan P K, Nachane R P, Banerjee S, Pawar B R, Koli H S"
"('June', 2017)",Investigation of tensile resilience properties of stretch denim fabrics,"Ancutiene Kristina, Koldinska Marie, Havelka Antonin"
"('June', 2017)",Moisture management and wicking properties of polyester- cotton plated knits,"Jhanji Yamini, Gupta Deepti, Kothari V K"
"('June', 2017)",Determination of antioxidant capacity of capsule loaded textiles,"Türkoğlu Gizem Ceylan, Sariişik Ayşe Merih, Erkan Gökhan, Kayalar Hüsniye, Kontart Oya, Öztuna Selda"
"('June', 2017)",Effect of weave parameters on air resistance of woven fabrics produced from compact doubled yarn,Vimal J Thanikai
"('June', 2017)",Single bath enzymatic scouring and bleaching process for preparation of  absorbent cotton,"Raja A S M, Arputharaj A, Saxena Sujata, Patil P G"
"('June', 2017)",Production of POSS nanoparticle containing polypropylene fibres dyeable with acid and basic dyes,Davulcu Asim
"('June', 2017)",Self -extinguishable cellulosic textile from ,"Basak S, Samanta Kartick K, Saxena S, Chattopadhyay S K, Parmar M S"
"('June', 2017)",Properties of cellulosic fabrics treated by water-repellent emulsions,"Mohamed Amina L, Hassabo Ahmed G, Nada Ahmed A, AbouZeid Nabil Y"
"('June', 2017)",Effect of stacking sequence on mechanical strength of bamboo/Kevlar K29 inter-ply laminated hybrid composite,"Singh Thingujam Jackson, Samanta Sutanu"
"('June', 2017)",Activated bleaching with sodium perborate and potassium persulphate,"Mallikarjun  Indi Yashovardhan, Wasif Akhilahmad, Patel Aftab Abdulajij"
"('June', 2017)",Kaolin shear thickening fluid reinforced UHMWPE composites for protective clothing,"Fernando E A S K, Dharmasena I G, Niles S N"
"('September', 2017)","Effect of fibre, yarn and fabric variables on heat and moisture  transport properties of plated knit","Jhanji Y, Gupta D, Kothari V K"
"('September', 2017)",A novel biodegradable micro-nano tubular knitted structure of PGA braided  yarns and PCL nanofibres applicable as esophagus prosthesis,"Yekrang Javad, Semnani Dariush, Seyghlani Amin Zadbagher, Razavi Shahnaz"
"('September', 2017)",Electromagnetic shielding effectiveness of woven fabrics having metal coated  zari wrapped yarns,"Veer Jai, Kothari V K"
"('September', 2017)",Improved filtration properties of hydroentangled PTFE/PPS  fabric filters caused by fibrillation,"Nan Zhang, Xiangyu Jin, Chen Huang, Qinfei Ke"
"('September', 2017)",Development of herbal drug loaded antimicrobial silk suture,"Sudha D, Dhurai Bhaarathi, Ponthangam T"
"('September', 2017)","Mechanical, thermal and morphological studies of microfibrillated jute/PLA biocomposites","Khan G M Arifuzzaman, AbdullahAlMamun M, Haque M Ahsanul, Rahman Md Shafiqur, Shaikh Hamid, Anis Arfat, AlZahrani Saeed M, Alam M Shamsul"
"('September', 2017)",Sound absorption properties of polyurethane-based warp-knitted  spacer fabric composites,"Chen Si, Chen Hongxia, Gao Xiaoping, Long Hairu"
"('September', 2017)",Impact and flexural properties of hybrid jute/HTPET fibre reinforced epoxy composites,"Ahmadi M S, Dastan T"
"('September', 2017)",Preparation of UV-resistant PET fibres by direct melt  spinning with on-line addition,"Zhaohui Jiang, Zengge Guo, Zhao Jia, Jing Wang, Congcong Pu, Changfa Xiao, Jian Jin"
"('September', 2017)",Thermal comfort properties of single jersey fabrics made from recycled polyester and cotton blended yarns,"Vadicherla Thilak, Saravanan D"
"('September', 2017)",Consumed sewing thread behaviour based on lockstitch and chainstitch,"Boubaker Jaouachi, Sana Aouine, Faouzi Khedher"
"('September', 2017)",A comparison of filtration performance of triangular and  circular cross-section fibre,"Zhang Xiaolin, Jin Xiangyu"
"('September', 2017)",Effect of disperse red dye on spectral red-shift of green-emitting luminous fibre,"Chen Zhi, Li Jing, Ge Mingqiao"
"('September', 2017)",Hydrophilization of poly (lactic acid) fibre and its combination with  dyeing and UV protection finishing,"Huang JianYi, Guan Jinping, Tang RenCheng, Liu KaiQiang"
"('September', 2017)",Sensory evaluation of different pashmina shawls,"Shakyawar D B, Kadam V V, Kumar Ajay, Mathuriya S R, Kumar Pramod"
"('September', 2017)",New theoretical modeling for predicting yarn angle on OE yarn influenced by fibre movement on torus coordinate based on  classical mechanics approach,"Putra Valentinus Galih Vidia, Rosyid M Farchani, Maruto Guntur"
"('September', 2017)",Anisotropic mechanical behavior of thermally bonded nonwoven fabric,"Gao Xiaoping, Wu Wei, Wang Liping"
"('December', 2017)",Analytical model to study a new design concept for providing comfort  in hot arid climate,"Bal Kausik, Hes Lubos, Bajzik Vladimir"
"('December', 2017)",Properties of viscose air-jet spun plied yarns,"Eldeeb Moaz, Moučková Eva, Ursíny Petr"
"('December', 2017)",Effect of dielectric barrier discharge parameters on properties of mulberry silk fibre,"Navik Rahul, Dalvi Ajit, Sanas Payal, Karande Shivraj, Cai Yingjie"
"('December', 2017)",Compressional behavior of Persian hand knotted wool carpets using response surface methodology,"Gupta Shravan Kumar, Majumdar Abhijit, Goswami Kamal Kanti"
"('December', 2017)",Novel device for evaluating sweat evaporation characteristics of woven and knitted fabrics,"Raja D, Senthilkumar M, Mani K"
"('December', 2017)",Impact of abrasion on mass loss and appearance of injected slub yarn fabrics,"Mukhopadhyay Arunangshu, Midha Vinay Kumar, Ray Nemai Chandra"
"('December', 2017)",Prediction of Poisson’s ratio of worsted woven fabrics considering fabric extension in various directions,"Ezazshahabi Nazanin, Varkiyani Seyyed Mohammad Hosseini, Saharkhiz Siamak"
"('December', 2017)",Low-stress mechanical properties of weft knitted fabrics produced from regular and compact cotton spun yarns,"Farid Afrose Fathima, Roshanara, Subramaniam V"
"('December', 2017)",Geometrical modeling for bi-axial weft knitted fabrics based on rib structure,"Abghary Mohammad Javad, Hasani Hossein, Nedoushan Reza Jafari"
"('December', 2017)",Improved performance of woven substrates in needle-punched  nonwoven filters using needles with modified cross-section,"Nan Zhang, Qinfei Ke, Chen Huang, Xiangyu Jin"
"('December', 2017)",Examination of liquid management of sub-compression wadding  for chronic venous disorders,"Kumar B, Das A, Alagirusamy R, Singh J"
"('December', 2017)",Development of breathable and liquid/microbes barrier woven  surgical gowns for hospital usage,"Krishnasamy Jagatheesan, Senthilkumar T, Neelakandan R"
"('December', 2017)",Antimicrobial treatment of silk with silver nanoparticles using acrylic binder,"Nadiger Vinay G, Shukla Sanjeev R"
"('December', 2017)",Use of amorphous TiO,"Goel Abhishek, Osta Shashank, Mishra Anu, Butola Bhupendra Singh"
"('December', 2017)",Preparation and characterisation of Nylon/PEG/PAN  composite membrane for liquid filtration,"Nallathambi Gobi, Abinaya M, Ragavee S, Sivaranjani R, Arunkarthick S, Nisha S, Devi B"
"('December', 2017)",Moisture management characteristics of knitted casein fabric,Rathinamoorthy R
"('December', 2017)",Synthesis of core-shell fluorine-silicon containing polyacrylate latexes for water and oil repellent finishing of cotton fabric,"Fan Zenglu, Li Qing, Cai Xinbin, Xiao Qianqian, Zhang Long"
"('December', 2017)",Dynamic analysis of a warp-knitting machine with pneumatic drive for producing  3D knitted fabrics,"Michalak Andrzej, Kuchar Maciej, Mikołajczyk Zbigniew"
"('March', 2016)",Colour effect on fibre diameter measurement with OFDA 2000,"Li Q, Brady P R, Hurren C J, Wang X G"
"('March', 2016)",Pilling evaluation of patterned fabrics based on a gradient field method,"Techniková Lenka, Tunák Maroš, Janáček Jiří"
"('March', 2016)",Impact of high temperature and pressure on sericin scouring of muga silk cocoons,"Choudhury Manasee, Devi Dipali"
"('March', 2016)",Stabilised blending delay time in blowroom multimixer,Majumdar Abhijit
"('March', 2016)",Dope dyeing of polyacrylonitrile filaments with Ratanjot,"Purwar Roli, Sahoo Priyadarshan, Jain Mehak, Bothra Urvashi, Yadav Priya, Juneja Jigyasu, Srivastava Chandra Mohan"
"('March', 2016)",Laser eco-printing technology for silk fabric patterns,"Chen Jinxiang, Meng Chuang, Xie Juan, Pan Le, Zhou Dong, Chen JunNan"
"('March', 2016)","<span en-us="""" lang=""EN-US"" mso-bidi-font-family:="""" new="""" roman="""" style=""font-size:11.0pt;mso-bidi-font-size: 10.0pt;font-family:"" times="""">Optimization of sizing parameters with taguchi method</span>","Sabır Emel Ceyhun, Sarpkaya Çiğdem"
"('March', 2016)",Predicting hydrophobicity of silica sol-gel coated dyed cotton fabric by artificial neural network and regression,"Malik Samander Ali, Saleemi Sidra, Mengal Naveed"
"('March', 2016)",Filtration properties of staple fibre thermo-bonded nonwoven fabrics,"Kalaivani D, Karthick S Arun, Gobi N"
"('March', 2016)","<i><span lang=""EN-GB"" mso-bidi-font-family:mangal="""" mso-bidi-language:hi="""" new="""" roman="""" style=""font-size:15.0pt;mso-bidi-font-size: 16.0pt;font-family:"" times="""">Ex-situ</span></i>","Babaahmadi Vahid, Montazer Majid, Toliyat Tayebeh"
"('March', 2016)",Effect of linear density of feed yarn filaments and air-jet texturing process variables on compressional properties of woven fabrics,"Baldua R K, Rengasamy R S, Kothari V K"
"('March', 2016)",Preparation and properties of a washable flame-retardant coated fabric,"Li QiangLin, Huang FangQian, Jiang XueJun, Wen De, Feng XiNing, Wu Kai"
"('March', 2016)",Prediction of fabric hand characteristics using extraction principle,"Das Apurba, Majumdar Abhijit, Roy Sukumar"
"('March', 2016)","Spinnability of cotton/milkweed blends on ring, compact and rotor  spinning systems","Karthik T, Murugan R"
"('March', 2016)",Prediction of polyester/cotton blended rotor-spun yarns hairiness based on the machine parameters,"Ghorbani Vahid, Vadood Morteza, Johari Majid Safar"
"('March', 2016)","<span hi="""" lang=""EN-GB"" mangal="""" new="""" roman="""" style=""font-size:11.0pt;font-family: "" times="""">Morphological and thermal properties of optimized electrospun cellulose acetate nanofibres during deacetylation in different <i>p</i>H values</span>","Zahedi Payam, Rafie Ayda, Wojczak Edyta"
"('March', 2016)",Radial distribution function of natural fibres and synthetic water soluble polymers using X-ray diffraction,"Urs G Thejas, Prakash M B Nanda, Ananda H T, Somashekar R"
"('June', 2016)",Yarn hairiness on ring spinning with modified yarn path,"Liu Xinjin, Su Xuzhong"
"('June', 2016)",Electrochemical bleaching of cotton,"Das Dipankar, Patra A K, Jakhar Rahul, Sunder Shyam"
"('June', 2016)",Fungal dry retting — An ecofriendly and water saving technology for retting of jute,Banik Shyamal
"('June', 2016)",Specially treated woven jute geotextiles for river bank protection,"Chakrabarti S K, Saha S G, Paul Palash, Dewan A R, Das Koushik, Chowdhury P K, Gon D P, Ray Prabir"
"('June', 2016)",Enhancement of heat and mass transfer between human body and hospital mattress to reduce pressure ulcer formation,"Kandhavadivu P, Rathinamoorthy R, Surjit R"
"('June', 2016)",Preparation of viscose/wool powder blended fibre and optimization  of its acid dyeing,"Ke Guizhen, Li Wenbin"
"('June', 2016)",Dyeing quality of walnut shells on polyester and polyester/viscose blended fabrics,"Eser Ferda, Aktas Ebru, Onal Adem"
"('June', 2016)",Tie-dye technique and pattern features,"Suqiong Liu, Weidong Gao, Wei Xue, Ming Gu, Huie Liang"
"('June', 2016)",Properties of wool dyed with pinecone powder as a by-product colorant,"Salimian Saeed, Moghaddam Meghdad Kamali, Safi Somayeh, Mortazavi Sayed Majid"
"('June', 2016)","Effects of industrial ironing on mechanical and dimensional properties of cotton, wool and polyester fabrics","Cheriaa Rim, Marzoug Imed Ben, Sakli Faouzi"
"('June', 2016)",Changes in thermal comfort properties of sports wear and underwear  due to their wetting,"Bajzik Vladimir, Hes Lubos, Dolezal Ivan"
"('June', 2016)",Optimisation of alkali treatment of banana fibres on lignin removal,"Vardhini K J Vishnu, Murugan R, Selvi C Tamil, Surjit R"
"('June', 2016)",Preparation and characterization of PA6/titania conductive fibres,"Zhang Kun, Ge Mingqiao"
"('June', 2016)",Preparation of antibacterial microfibre,"Dagang Miao, Hongmei Zhao, Shouxiang Jiang, Songmin Shang, Zhuoming Chen"
"('June', 2016)",Effect of differently functionalized carbon nanotubes on the properties of composite nanofibres,"Eren Olcay, Ucar Nuray, Onen Aysen, Karacan Ismail, Kızıldag Nuray, Demirsoy Nesrin, Vurur Omer Faruk, Borazan Ismail"
"('June', 2016)",Effects of OE spinning parameters on cotton rotor-spun yarn hairiness,"Abghary Mohammad Javad, Johari Majid Safar, Hassanzadeh Sanaz"
"('June', 2016)",Optimization of drafting zone variables in ring spinning for the  production of cotton/milkweed blended yarns,"Karthik T, Murugan R"
"('June', 2016)",Fabric hand characteristics by nozzle extraction technique,"Das A, Majumdar A, Gupta P"
"('September', 2016)",Minimization of inspection cost by determining the optimal number of quality inspectors in the garment industry,"Ramzan Muhammad Babar, Kang Chang Wook"
"('September', 2016)",A novel and low-cost instrument for color identification of natural fibres,"Roy Gautam, Saha S C"
"('September', 2016)",Fabric pilling– Objective measurement system,"Mayekar Vijay M, Nachane R P"
"('September', 2016)",Effect of immobilized cellulase enzyme treatment on properties of ramie fabric,"Ni Xiaoyan, Yu Yuanyuan, Wang Qiang, Fan Xuerong, CavacoPaulo Artur, Yuan Jiugang"
"('September', 2016)",Plasma induced nano-finish for multifunctional properties on cotton fabric,"Palaskar Shital S, Desai A N, Shukla S R"
"('September', 2016)",Moisture management behaviors of high wicking fabrics composed of  profiled Fibres,"Gorji Mohsen, Bagherzadeh Roohollah"
"('September', 2016)",Effect of lac treatment on mechanical properties of jute fabric /polyester  resin based biocomposite,"Ammayappan L, Das Sekhar, Guruprasad R, Ray Deb Prasad, Ganguly Prasanta Kumar"
"('September', 2016)",Bio mimetic coloration of wool using plant juice,"Natarajan SriKrishna, Gupta Deepti"
"('September', 2016)",Effect of silicone treatment on hand value of cotton handloom fabrics,"Pattanaik M N, Ray Sadhan Chandra"
